ID,Start time,Completion time,Email,Name,Last modified time,"If you could choose, would you want to be assessed with a heavily weighed exam (80–100%) or with significant coursework components?
Please ignore project courses; this question is about which opti...",Any optional comments?,Please select your year,Please select your degree,Cleaned Comments,Percentage Split
1,2025-01-28 16:20:47,2025-01-28 16:21:16,anonymous,,,Significant coursework,,4,Theoretical Physics,,[]
2,2025-01-28 16:29:22,2025-01-28 16:29:31,anonymous,,,Significant coursework,,3,Physics with Meteorology,,[]
3,2025-01-28 16:29:35,2025-01-28 16:29:58,anonymous,,,Significant coursework,,4,Physics,,[]
4,2025-01-28 16:29:58,2025-01-28 16:30:14,anonymous,,,Significant coursework,,3,Astrophysics,,[]
5,2025-01-28 16:30:07,2025-01-28 16:30:36,anonymous,,,Significant coursework,,2,Physics,,[]
6,2025-01-28 16:30:07,2025-01-28 16:30:37,anonymous,,,Significant coursework,,3,Astrophysics,,[]
7,2025-01-28 16:30:20,2025-01-28 16:30:39,anonymous,,,Significant coursework,,3,Other,,[]
8,2025-01-28 16:30:15,2025-01-28 16:30:48,anonymous,,,Significant coursework,"Puts so much stress on the final exam, when we are already working to the bone for the heavy coursework load throughout the year",3,Physics,puts so much stress on final exam when already working to bone heavy coursework load throughout year,[]
9,2025-01-28 16:30:11,2025-01-28 16:30:54,anonymous,,,Heavily weighed exam,If we get coursework don't give us loads for negligable marks (Thermal Physics first term),3,Physics,get coursework dont give us loads negligable marks thermal physics first term,[]
10,2025-01-28 16:30:19,2025-01-28 16:30:57,anonymous,,,Heavily weighed exam,,3,Physics,,[]
11,2025-01-28 16:30:54,2025-01-28 16:31:06,anonymous,,,Heavily weighed exam,,2,Physics,,[]
12,2025-01-28 16:30:44,2025-01-28 16:31:09,anonymous,,,Significant coursework,,1,Theoretical Physics,,[]
13,2025-01-28 16:30:31,2025-01-28 16:31:09,anonymous,,,Significant coursework,Would prefer 60% exam 40% coursework,2,Physics,would prefer 60 exam 40 coursework,"[60, 40]"
14,2025-01-28 16:30:34,2025-01-28 16:31:10,anonymous,,,Significant coursework,50/50 split ,4,Physics,5050 split,[]
15,2025-01-28 16:30:41,2025-01-28 16:31:13,anonymous,,,Significant coursework,,3,Physics,,[]
16,2025-01-28 16:29:32,2025-01-28 16:31:14,anonymous,,,Significant coursework,"Exams are worth it if they're open book. Otherwise they're just memory tests despite what every lecturer says. ""just re derive the entirety of physics from scratch if you can't remember something"" /s",5/MSc,Physics,exams worth theyre open book otherwise theyre just memory tests despite every lecturer says just re derive entirety physics from scratch cant remember something s,[]
17,2025-01-28 16:30:32,2025-01-28 16:31:19,anonymous,,,Significant coursework,"If coursework is heavy, exams shouldn’t be 40% pass as well",2,Computational Physics,coursework heavy exams shouldn’t 40 pass well,[]
18,2025-01-28 16:30:18,2025-01-28 16:31:20,anonymous,,,Heavily weighed exam,,3,Astrophysics,,[]
19,2025-01-28 16:30:47,2025-01-28 16:31:25,anonymous,,,Significant coursework,,2,Physics,,[]
20,2025-01-28 16:31:06,2025-01-28 16:31:34,anonymous,,,Significant coursework,,3,Mathematical Physics ,,[]
21,2025-01-28 16:30:58,2025-01-28 16:31:41,anonymous,,,Heavily weighed exam,,4,Astrophysics,,[]
22,2025-01-28 16:31:18,2025-01-28 16:31:44,anonymous,,,Significant coursework,,5/MSc,Physics,,[]
23,2025-01-28 16:31:01,2025-01-28 16:31:50,anonymous,,,Significant coursework,,4,Theoretical Physics,,[]
24,2025-01-28 16:30:09,2025-01-28 16:31:53,anonymous,,,Significant coursework,"I learn much more from coursework, as there is time to do deeper and extracurricular reading. Exams unnerve me and a lot of the time I perform very well in practice exams and very poorly in real ones.",4,Physics,learn much more from coursework there time to deeper extracurricular reading exams unnerve lot time perform very well in practice exams very poorly in real ones,[]
25,2025-01-28 16:31:33,2025-01-28 16:31:57,anonymous,,,Heavily weighed exam,,1,Mathematical Physics ,,[]
26,2025-01-28 16:30:49,2025-01-28 16:32:03,anonymous,,,Significant coursework,I feel coursework overall shows a better example of how you are doing throughout the term. I do not think you should get rid of exams but the stress on the one day I don’t feel is ever a good representation of how one person does overall so I think coursework should be weighted more as both are equally important ,2,Physics,feel coursework overall shows better example how throughout term not think should get rid exams stress on one day don’t feel ever good representation how one person overall so think coursework should weighted more both equally important,[]
27,2025-01-28 16:31:45,2025-01-28 16:32:04,anonymous,,,Significant coursework,,3,Physics,,[]
28,2025-01-28 16:30:40,2025-01-28 16:32:13,anonymous,,,Heavily weighed exam,"Exams while in the moment are stressful, but during the actual course itself it makes it less stressful in my opinion. I think there should always be at least some course component in all courses however but only about 20% seems to be fair",2,Physics,exams in moment stressful during actual course itself makes less stressful in opinion think there should always least some course component in all courses however only 20 seems to fair,[]
29,2025-01-28 16:31:55,2025-01-28 16:32:14,anonymous,,,Significant coursework,,5/MSc,Physics,,[]
30,2025-01-28 16:31:34,2025-01-28 16:32:16,anonymous,,,Significant coursework,,2,Computational Physics,,[]
31,2025-01-28 16:31:40,2025-01-28 16:32:18,anonymous,,,Heavily weighed exam,,1,Computational Physics,,[]
32,2025-01-28 16:31:39,2025-01-28 16:32:20,anonymous,,,Significant coursework,,3,Physics,,[]
33,2025-01-28 16:31:42,2025-01-28 16:32:21,anonymous,,,Heavily weighed exam,,1,Physics with a Year Abroad,,[]
34,2025-01-28 16:32:01,2025-01-28 16:32:23,anonymous,,,Significant coursework,,2,Physics with a Year Abroad,,[]
35,2025-01-28 16:31:24,2025-01-28 16:32:24,anonymous,,,Significant coursework,,2,Physics,,[]
36,2025-01-28 16:32:20,2025-01-28 16:32:27,anonymous,,,Significant coursework,,4,Physics,,[]
37,2025-01-28 16:31:37,2025-01-28 16:32:31,anonymous,,,Heavily weighed exam,70/80% exam is my personal preference with the rest being appropriate continous assessment,5/MSc,Physics,7080 exam personal preference rest appropriate continous assessment,"[80, 20]"
38,2025-01-28 16:32:25,2025-01-28 16:32:38,anonymous,,,Heavily weighed exam,,4,Theoretical Physics,,[]
39,2025-01-28 16:31:49,2025-01-28 16:32:43,anonymous,,,Significant coursework, ,4,Physics,,[]
40,2025-01-28 16:29:55,2025-01-28 16:33:07,anonymous,,,Significant coursework,"Not a massive fan of 80% of a course relying on one exam, as I believe it is not a fair way of assessing one's knowledge of the courses. It also relies on luck, because sometimes the topic of a question might be easier for you and sometimes it might be really hard. I feel that more continuous assessment throughout the year would be a better measure of people's knowledge of the course.",3,Physics,not massive fan 80 course relying on one exam believe not fair way assessing ones knowledge courses also relies on luck sometimes topic question might easier sometimes might really hard feel more continuous assessment throughout year would better measure peoples knowledge course,[]
41,2025-01-28 16:32:04,2025-01-28 16:33:12,anonymous,,,Significant coursework,,1,Astrophysics,,[]
42,2025-01-28 16:32:56,2025-01-28 16:33:14,anonymous,,,Heavily weighed exam,,1,Astrophysics,,[]
43,2025-01-28 16:32:53,2025-01-28 16:33:16,anonymous,,,Significant coursework,,4,Physics,,[]
44,2025-01-28 16:32:34,2025-01-28 16:33:17,anonymous,,,Significant coursework,,1,Astrophysics,,[]
45,2025-01-28 16:32:19,2025-01-28 16:33:53,anonymous,,,Significant coursework,"Coursework allows for more of an understanding: in my experience, examination preparation tends to be more learning standard techniques by rote from notes and coursework is more about new applications of understanding",3,Mathematical Physics ,coursework allows more understanding in experience examination preparation tends to more learning standard techniques rote from notes coursework more new applications understanding,[]
46,2025-01-28 16:32:40,2025-01-28 16:34:13,anonymous,,,Significant coursework,"General coursework dependant modules I have taken I tend to perform much better on, I feel this is largely due to the fact that in coursework assessment you’re graded on your knowledge of the entirety of the course material. Examinations can only assess so much ",2,Physics,general coursework dependant modules taken tend to perform much better on feel largely due to fact in coursework assessment you’re graded on knowledge entirety course material examinations can only assess so much,[]
47,2025-01-28 16:29:33,2025-01-28 16:34:20,anonymous,,,Significant coursework,"I find it overly stressful and unfair for hundreds of hours of work over an entire year to be assessed in 2 to 3 hours. It is much easier to underperform during an exam than overperform, so an average over an entire degree may be affected, especially when it is impossible to assess every aspect of a course during an exam. I also find coursework to incentivise better learning practices, as it requires keeping up with content as it is being taught. ",5/MSc,Theoretical Physics,find overly stressful unfair hundreds hours work over entire year to assessed in 2 to 3 hours much easier to underperform during exam than overperform so average over entire degree may affected especially when impossible to assess every aspect course during exam also find coursework to incentivise better learning practices requires keeping up content taught,[]
48,2025-01-28 16:33:51,2025-01-28 16:34:29,anonymous,,,Significant coursework,,2,Computational Physics,,[]
49,2025-01-28 16:30:27,2025-01-28 16:34:35,anonymous,,,Significant coursework,More heavily weighted coursework such as in many of the School of Maths courses can often allow for better understanding of concepts throughout the semester and also stops grades being ruined by a poor performance during a 2 hour exam with 2 questions that does not allow you to fully demonstrate any knowledge that you may have. ,4,Mathematical Physics ,more heavily weighted coursework such in many school maths courses can often allow better understanding concepts throughout semester also stops grades ruined poor performance during 2 hour exam 2 questions not allow to fully demonstrate any knowledge may,[]
50,2025-01-28 16:30:15,2025-01-28 16:34:42,anonymous,,,Significant coursework,"I feel that coursework helps me with learning, and it reduces my anxiety for the exam. It also",3,Physics,feel coursework helps learning reduces anxiety exam also,[]
51,2025-01-28 16:31:55,2025-01-28 16:35:17,anonymous,,,Significant coursework,I took the fluid mechanics course last semester and that was 50 exam 50 coursework and I feel like this is the best way to do it. 80 exam just puts too much pressure on one day.,2,Astrophysics,took fluid mechanics course last semester 50 exam 50 coursework feel like best way to 80 exam just puts too much pressure on one day,"[50, 50]"
52,2025-01-28 16:33:47,2025-01-28 16:35:29,anonymous,,,Significant coursework,A 30:70 or 40:60 coursework:exam would be a good ratio,1,Other,3070 4060 courseworkexam would good ratio,"[40, 60]"
53,2025-01-28 16:31:42,2025-01-28 16:35:39,anonymous,,,Significant coursework,"I suffer from significant anxiety around exams and know this leads to me underperforming, which makes exams an unpleasant and frustrating process for me, so personally I’d prefer to be assessed on my coursework, however I understand it can be significantly more challenging to motivate some learners without fear of an exam.",1,Mathematical Physics ,suffer from significant anxiety around exams know leads to underperforming makes exams unpleasant frustrating process so personally i’d prefer to assessed on coursework however understand can significantly more challenging to motivate some learners without fear exam,[]
54,2025-01-28 16:35:19,2025-01-28 16:35:49,anonymous,,,Heavily weighed exam,,5/MSc,Physics,,[]
55,2025-01-28 16:35:51,2025-01-28 16:36:30,anonymous,,,Significant coursework,,2,Physics,,[]
56,2025-01-28 16:36:57,2025-01-28 16:37:19,anonymous,,,Significant coursework,,3,Astrophysics,,[]
57,2025-01-28 16:36:55,2025-01-28 16:37:37,anonymous,,,Heavily weighed exam,,4,Theoretical Physics,,[]
58,2025-01-28 16:37:19,2025-01-28 16:37:52,anonymous,,,Heavily weighed exam,,1,Physics,,[]
59,2025-01-28 16:37:14,2025-01-28 16:37:53,anonymous,,,Heavily weighed exam,,3,Theoretical Physics,,[]
60,2025-01-28 16:36:59,2025-01-28 16:38:24,anonymous,,,Heavily weighed exam,Exams give you that little bit more freedom to get better at them over the semester. Means you don't get totally snowed under if you find yourself at a crunch time with something non course related.,4,Theoretical Physics,exams give little bit more freedom to get better over semester means dont get totally snowed under find yourself crunch time something non course related,[]
61,2025-01-28 16:32:07,2025-01-28 16:38:35,anonymous,,,Significant coursework,Sometimes exams do not reflect the teaching and assessment style throughout the year and is so heavily dependant on the lecturer writing it (creates a disadvantage when our year has had several new lecturers over the past 2 years). Narrows the number of topics that can be assessed. If a topic that you aren’t great with comes up on coursework you have the time to work through the question and ultimately understand it more but if a topic you are less sure of comes up on an exam you do not have that chance and then your overall grade is incredibly negatively affected despite the fact you may have a deep understanding of all the other topics. ,3,Physics,sometimes exams not reflect teaching assessment style throughout year so heavily dependant on lecturer writing creates disadvantage when year several new lecturers over past 2 years narrows number topics can assessed topic aren’t great comes up on coursework time to work question ultimately understand more topic less sure comes up on exam not chance then overall grade incredibly negatively affected despite fact may deep understanding all other topics,[]
62,2025-01-28 16:37:51,2025-01-28 16:38:36,anonymous,,,Significant coursework,,4,Mathematical Physics ,,[]
63,2025-01-28 16:37:53,2025-01-28 16:38:39,anonymous,,,Heavily weighed exam,Coursework deadlines can be stressful when multiple are close to each other. Coursework does reduce impact of one bad day on final grade. Coursework can help build understanding over course of semester. ,2,Physics,coursework deadlines can stressful when multiple close to each other coursework reduce impact one bad day on final grade coursework can help build understanding over course semester,[]
